Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
ভাষা আন্দোলনের সময় পাকিস্তানের প্রধানমন্ত্রী কে ছিলেন?,History,3,3,খাজা নাজিমুদ্দিন,নুরুল আমিন,লিয়াকত আলী খান,মোহাম্মদ আলী জিন্নাহ,A
বাংলায় প্রথম চৈনিক পরিব্রাজক কে?,History,3,2,ই-সিং,ফা-হিয়েন,ইউয়েন সাং,জেন ডং,B
কার রাজত্বকালে ইবনে বতুতা ভারতে এসেছিলেন ?,History,2,1,মুহম্মদ বিন কাসেম,মুহম্মদ বিন তুঘলক,সম্রাট হুমায়ূন,সম্রাট আকবর,B
আগরতলা ষড়যন্ত্র মামলায় অভিযুক্তের সংখ্যা ছিলো -,History,3,1,৩৮,৩৬,৪০,৩৫,D
কোন সালে পাকিস্থানে প্রথম সামরিক শাসন জারি হয়?,History,2,2,১৯৫৪,১৯৫৬,১৯৫৮,১৯৬২,C
ভারতীয় উপমহাদেশে প্রথম কখন ও কার আমলে ডাক সার্ভিস চালু হয়?,History,2,1,শের শাহ,শায়েস্তা খাঁ,নুসরাত শাহ্‌,সিরাজউদ্দৌলা,A
নীল বিদ্রোহ কখন সংঘটিত হয়?,History,2,1,১৪৪২-৪৪ সালে,১৮৫৯-৬২ সালে,১৮৯৪-৯৬ সনে,১৯১৭-২০ সালে,B
"১৯০৫ সাল ঢাকা যে নতুন প্রদেশটির রাজধানী হয়েছিল, সে প্রদেশটির নাম কি ?",History,2,3,পূর্ব পাকিস্থান,পূর্ববঙ্গ ও আসাম,পূর্ববঙ্গ ও উড়িষ্যা,পূর্ববঙ্গ,B
অবিভক্ত বাংলার প্রথম মুখ্যমন্ত্রী কে -,History,1,1,খাজা নাজিমুদ্দিন,এ কে ফজলুল হক,মহাম্মদ আলী,হোসেন শহীদ সোহরাওয়ার্দী,B
আসাদ গেট কোন স্মৃতি রক্ষার্থে নির্মিত?,History,2,3,১৯৫২ সালের ভাষা আন্দোলন,১৯৬৬ সালের ছয় দফা আন্দোলন,১৯৭১ সালের মুক্তিযুদ্ধে,১৯৬৯ সালের গণ- অভ্যুত্থান,D
'শহীদ আসাদ দিবস' পালিত হয় কবে?,History,3,2,১৫ জানুয়ারী,২০ জানুয়ারী,২৫ আনুয়ারী,৩০ জানুয়ারী,B
পানি পথের তৃতীয় যুদ্ধ হয়-,History,2,3,১৫২৬ সালে,১৫৫৬ সালে,১৭৬১ সালে,১৭৬৫ সালে,C
মুহম্মদ বখতিয়ার খিলজি কোন শতাব্দীতে বাংলাদেশে আসেন ?,History,1,2,একাদশ,দশম,ত্রয়োদশ,পঞ্চদশ,C
১৯৪০ সালের লাহোর প্রস্তাবের উত্থাপক কে ছিলেন?,History,2,1,লিয়াকত আলী খান,এ কে ফজলুল হক,মোহাম্মদ আলী জিন্নাহ,খাজা নাজিমুদ্দিন,B
হানাদার পাকিস্থানী সৈন্যরা কবে কখন বঙ্গবন্ধুর ধানমন্ডির বাড়ি আক্রমণ করে?,History,2,1,"৭ মার্চ, 1971","২৫ মার্চ, 1971","২৬ মার্চ, 1971","২৭ মার্চ, 1971",B
প্রাচীন গৌড় নগরীর অংশবিশেষ বাংলাদেশের কোন জেলায় অবস্থিত?,History,2,2,কুষ্টিয়া,বগুড়া,কুমিল্লা,চাঁপাই নবাবগঞ্জ,D
১৯৭০ সালে পাকিস্তানের প্রথম সাধারণ নির্বাচনে কোন দল সংখ্যাগরিষ্ঠতা অর্জন করে ?,History,1,3,মুসলিম লীগ,আওয়ামী লীগ,পিপলস পার্টি,ন্যাশনাল আওয়ামী পার্টি,B
বঙ্গভঙ্গের সময় ভারতের ভাইসরয় বা গভর্নর জেনারেল কে ছিলেন?,History,4,2,লর্ড মিন্টো,লর্ড চেমসফোর্ড,লর্ড কার্জন,লর্ড মাউন্টব্যাটেন,C
কত সালে ইউরোপ হতে আফ্রিকার উত্তমাশা অন্তরীপ হয়ে সমুদ্রপথে পূর্বদিকে আসার জলপথ আবিস্কৃত হয়?,History,5,2,১৪৮৭ সালে,১৪৯০ সালে,১৪৯৮ সালে,১৫০২ সালে,A
প্রথম বঙ্গভঙ্গ আন্দোলনের সময় ভারতের গর্ভনর জেনারেল কে ছিলেন?,History,3,1,হেস্টিংস,কার্জন,কর্ণওয়ালিস,ডালহৌসি,B
নিচের কোন ব্যক্তি মোঘল সমাট ছিলেন না?,History,1,1,আকবর (Akbar),বাহাদুর শাহ্‌ (Bahadur Shah),ঈসা খাঁ (isha Khan),বাবর (Babar),C
অবিভক্ত বাংলার শেষ মুখ্যমন্ত্রী কে ছিলেন?,History,1,1,এ. কে. ফজলুল হক,হোসেন শহীদ সোহরাওয়ার্দী,আবুল হাসেম,খাজা নাজিমুদ্দিন,B
কোন সালে ইউরোপ হতে ভারতে আসার জলপথ আবিস্কৃত হয়েছে?,History,2,2,১৪৯৮ সালে,১৪৯২ সালে,১৫১৭ সালে,১৬৪৮ সালে,A
মুসলিম লীগ প্রতিষ্ঠিত হয় কত সালে?,History,2,2,১৯০৫ সালে,১৯০৬ সালে,১৯১০ সালে,১৯১১ সালে,B
পাকিস্থানের গণপরিষদের প্রথম অধিবেশনে রাষ্ট্রভাষা বাংলা করার দাবী জানান কে?,History,1,1,হোসেন শহীদ সোহরাওয়ার্দী,জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমান,শেরে বাংলা এ কে ফজলুল হক,কুমিল্লার ধীরেন্দ্র নাথ দত্ত,D
ভারতে সর্বপ্রথম কার সময় রেলপথ ও টেলিগ্রাফ লাইন স্থাপিত হয়?,History,2,3,লর্ড ওয়েলেসলি,লর্ড বেন্টিংক,লর্ড ক্যানিং,লর্ড ডালহৌসি,D
কোন সম্রাট সর্বপ্রথম ইস্ট ইন্ডিয়া কোম্পানিকে সুরাটে বাণিজ্য কুটি স্থাপনের অনুমতি দেন?,History,3,3,আকবর,শাহবাজ খান,মুর্শিদকুলি খান,জাহাঙ্গীর,D
জমি থেকে খাজনা আদায় আল্লাহর আইনের পরিপন্থী -এটি কার ঘোষনা?,History,2,1,তিতুমীর,ফকির মজনু শাহ,দুদু মিয়া,হাজী শরীয়তুল্লাহ,C
মূল্য ও বাজার নিয়ন্ত্রণ ব্যবস্থা প্রবর্তন করেন?,History,1,3,ইলতুৎমিশ,বলবন,আলাউদ্দিন খলজি,মুহম্মদ বিন তুঘলক,C
ভারতের যে সম্রাটকে 'আলমগীর' বলা হতো -,History,2,3,শাহজাহান,বাবর,বাহাদুর শাহ্‌,আওরঙ্গজেব,D
'মাৎস্যন্যায়' ধারণাটি কিসের সাথে সম্পর্কিত ?,History,2,1,মাছ বাজার,ন্যায় বিচার প্রতিষ্ঠা,মাছ ধরার নৌকা,আইন-শৃংখলাহীন অরাজক অবস্থা,D
ঢাকায় ১৮৫৭ সালের সিপাহি বিদ্রোহের স্মৃতিজড়িত স্থান -,History,2,2,রমনা পার্ক,ন্যাশনাল পার্ক,গুলশান পার্ক,বাহাদুরশাহ পার্ক,D
ব্রিটিশ ভারতীয় রাজধানী কলকাতা থেকে দিল্লিতে হস্তান্তর করা হয় -,History,2,1,১৯১২ সালে,১৮১২ সালে,১৮৫৭ সালে,১৮৬৫ সালে,A
মারাঠা শাসকের উপাধি ছিল -,History,3,1,রাজা,পেশোয়া,সম্রাট,বাদশাহ,B
বাঁশের কেল্লাখ্যাত স্বাধীনতা সংগ্রামী কে?,History,1,2,ফকির মজনু শাহ্‌,দুদু মিয়া,তিতুমীর,মীর কাশিম,C
শেষ মুঘল সম্রাটের নাম কি?,History,1,2,আওরঙ্গজেব,ফররুক শাহ্‌,দ্বিতীয় বাহাদুর শাহ্‌,শায়েস্তা খাঁ,C
'জিজিয়া' কী ছিল?,History,3,2,বাণিজ্য কর,অমুসলমানদের উপর ধার্য ভূমি কর,উৎসব কর,অমুসলমানদের উপর ধার্য সামরিক কর,D
ইংরেজ ইস্ট ইন্ডিয়া কোম্পানি কখন বাংলা বিহার ও উড়িষ্যার দেওয়ানী লাভ করেন?,History,1,1,১৬৯০,১৭৬৫,১৭৯৩,১৮২৯,B
সতীদাহ প্রথার বিলোপ সাধন করেন কে?,History,1,3,লর্ড কর্ণওয়ালিস,রাজা রামমোহন রায়,ঈশ্বরচন্দ্র বিদ্যাসাগর,লর্ড বেন্টিক,D
ওলন্দাজরা কোন দেশের নাগরিক?,History,1,2,হল্যান্ড,ফ্রান্স,পর্তুগাল,ডেনমার্ক,A
ষাট গম্বুজ মসজিদ বাংলাদেশের কোন জেলায় অবস্থিত?,History,1,2,খুলনা,যশোর,বাগেরহাট,কোনটিই নয়,C
আরবদের আক্রমণের সময় সিন্ধু দেশের রাজা ছিলেন কে?,History,1,3,মানসিংহ,জয়পাল,দাহির র,দাউদ,C
বাংলার আদি জনপদের অধিবাসীরা কোন জাতির অন্তর্ভুক্তি?,History,2,2,বাঙালি,আর্য,নিষাদ,আলপাইন,C
ইংরেজি কোন সনের দুর্ভিক্ষ 'পঞ্চাশের মন্বত্তর' নামে পরিচিত?,History,2,2,১৭৭০,১৮৬৬,১৮৯৯,১৯৪৩,D
১৯৬৬ সালে ঘোষিত ছয়দফা কর্মসূচির মূল বক্তব্য কি ছিল?,History,1,2,দুই অঞ্চলের পথকীকরণ,পূর্ব পাকিস্থানের স্বায়ত্তশাসন,বাংলাদেশের স্বাধীনতা ঘোষনা,ছয়টি প্রদেশ সৃষ্টি,B
কোন সনে সম্রাট আকবর বাংলার শাসনভার গ্রহণ করেন?,History,2,3,১৫৭৫,১৫৭২,১৫৫৬,১৫৭৬,D
লর্ড ক্যানিং ভারত উপমহাদেশে প্রথম কোন ব্যবস্থা চালু করেন?,History,3,3,চিরস্থায়ী বন্দোবস্ত ব্যবস্থা,দ্বৈত শাসন ব্যবস্থা,সতীদাহ নিবারণ ব্যবস্থা,পুলিশ ব্যবস্থা,D
'হার্মাদ' শব্দটি কোন ভাষা থেকে আগত ?,History,3,2,স্পেনীয়,পর্তুগিজ,বার্মিজ,আরাকানী,B
ভারতে প্রথম প্রতীক মুদ্রা প্রবর্তন করেন?,History,3,2,শের শাহ,মুহম্মদ বিন তুঘলক,ইলতুৎমিশ,লর্ড কর্নওয়ালিস,B
যে ইংরেজকে হত্যার অভিযোগে ক্ষুদিরামকে ফাঁসি দেয়া হয় তার নাম কী?,History,2,3,কিংসফোর্ড,লর্ড হার্ডিঞ্জ,হডসন,সিম্পসন,A
তমুদ্দিন মজলিস কোন সনে প্রতিষ্ঠিত হয়?,History,3,2,১৯৪৬,১৯৪৭,১৯৪৮,১৯৫০,B
দিল্লি থেকে রাজধানী দেবগিরিতে স্থানান্তর করেন কে?,History,3,2,সম্রাট আকবর,মুহম্মদ বিন তুঘলক,সম্রাট জাহাঙ্গীর,সুলতান,B
"১৯৭১ সালে মুক্তিযুদ্ধের শুরুতে বঙ্গবন্ধু সম্পর্কে এক ব্যক্তি এক দম্তোক্তি করে যা ছিল নিম্নরূপঃ ""লোকটি এবং তার দল পাকিস্থানের শত্রু এবার তারা শাস্তি এড়াতে পারবে না "" - এ উক্তিকারী ব্যক্তিটি কে?",History,3,2,জেনারেল নিয়াজী,জেনারেল টিক্কা খান,জেনারেল ইয়াহিয়া খান,জেনারেল হামিদ খান,B
মহীশূরের টিপু সুলতান সর্বশেষ কোন ইংরেজ সেনাপতির সঙ্গে যুদ্ধ করেন ?,History,2,3,ওয়েলেসলি,ওয়ারেন হেস্টিংস,কর্ণওয়ালিস,ডালহৌসি,A
চীন দেশের কোন ভ্রমণকারী গুপ্তযুগে বাংলাদেশ আগমন করেন ?,History,3,2,হিউয়েন সাঙ,ফা হিয়েন,আইসিং,উপরের সবগুলোই,B
'বাঙ্গালাহ' নামের প্রচলন করেন -,History,2,3,শশাংস্ক,ধর্মপাল,ইলিয়াস শাহ্‌,আকবর,C
পলাশীর যুদ্ধ হয় কত সালে?,History,2,3,১৭৭০ সালে,১৭৫৭ সালে,১৮৮৭ সালে,১৮৮০ সালে দন,A
অশোক কোন বংশের সমাট ছিলেন?,History,1,3,মৌর্য,গুপ্ত,পুষ্যভূতি,কুশান,A
কে বাদশাহ আলমগীরের ভাই ছিলেন না?,History,1,2,সুজা,মুরাদ,শের শাহ্‌,দারা,C
ভারতের শাসনভার ইংল্যান্ডের রানী ও পার্লামেন্টের হাতে অর্পিত হয় -,History,4,1,১৭৫৮ সালে,১৮৫৮ সালে,১৭৯২ সালে,১৮৬২ সালে,B
পলাশীর যুদ্ধের তারিখ ছিল -,History,1,1,"January 23,1757","February 23, 1857","June 23,1757","May 14, 1757",C
দিল্লী সালতানাতের প্রকৃত প্রতিষ্ঠাতা-,History,2,3,কুতুবউদ্দীন আইবেক,শামসুদ্দিন ইলতুৎমিশ,গিয়াসউদ্দিন বলবন,আলাউদ্দিন খলজী,B
পাকিস্তানের গণপরিষদের অধিবেশনে বাংলাকে রাষ্ট্রভাষা করার প্রথম দাবি কে উত্থাপন করেন?,History,1,1,আবদুল মতিন,ধীরেন্দ্রনাথ দত্ত,শেরে বাংলা এ. কে. ফজলুল হক,হোসেন শহীদ সোহ্‌রাওয়ার্দী,B
সম্রাট জাহাঙ্গীরের দরবারের প্রথম্‌ ইংরেজ দূত কে?,History,2,3,ক্যাপ্টেন হাকিন্স,এডওয়ার্ডস,স্যার টমাস রো,উইলিয়াম কেরি,A
ঢাকার বিখ্যাত ছোট কাটরা নির্মাণ করেন কে ?,History,2,1,নবাব সিরাজউদ্দৌলা,শায়েস্তা খাঁ,ঈসা খাঁ,সুবেদার ইসলাম খান,B
ভাষা আন্দোলনের একজন পথপ্রদর্শক হিসেবে খ্যাত -,History,1,1,জ্যোতিমর্ষ গুহ ঠাকুরতা,জিতেন ঘোষ,মুহাম্মদ আব্দুল হাই,ধীরেন্দ্রনাথ দত্ত,D
বঙ্গভঙ্গ রদ হয় কোন সালে?,History,1,1,১৯০৫,১৯১৬,১৯৪৫,১৯১১,D
১৯৭১ সালের ২৫ মার্চ ছিল -,History,1,3,বৃহস্পতিবার,শুক্রবার,শনিবার,রবিবার,A
পাক-ভারত-বাংলা এই উপমহাদেশের প্রথম স্বাধীনতা যুদ্ধ কোন সনে শুরু হয় ?,History,1,3,১৭৫০,১৭৫৭,১৮৫০,১৮৫৭,B
উপমহাদেশে সিপাহী বিদ্রোহ শুরু হয় কোন সালে ?,History,1,2,১৭৫০,১৭৫৭,১৮৫০,১৮৫৭,D
অবিভক্ত বাংলার দ্বিতীয় মুখ্যমন্ত্রী -,History,1,1,আবুল হাসেম,এ কে ফজলুল হক,শহীদ সোহরাওয়ার্দী,খাজা নাজিমুদ্দিন,B
১৫২৬ খ্রিষ্টাব্দে পানি পথের প্রথম যুদ্ধে বাবর কাকে পরাজিত করেন?,History,2,1,রানা প্রতাপ সিংহ,ইব্রাহিম লোদি,শিবাজি,বৈরাম খাঁ,B
"""টোডরমল"" কে ?",History,2,2,আকবরের ধর্মমন্ত্রী,আকবরের অর্থমন্ত্রী,আকবরের পরিকল্পনা মন্ত্রী,আকবরের সমরমন্ত্রী,B
পাকিস্থানের শাসনতন্ত্র কবে প্রথম প্রবর্তিত হয়?,History,3,2,১৯৪৭,১৯৫২,১৯৫৪,১৯৫৬,D
কোন ইউরোপীয় ভারতে আসার জলপথ আবিষ্কার করেন?,History,1,2,ফার্ডিন্যান্ড ম্যাগোলান,ফ্রান্সিস ড্রেক,ভাস্কো ডা গামা,ক্রিস্টোফার কলম্বাস,C
ঐতিহাসিক ৬-দফাকে কিসের সাথে তুলনা করা হয়?,History,3,1,বিল অব রাইটস,ম্যাগনাকার্টা,পিটিশন অব রাইটস,মুখ্য আইন,B
বাংলায় 'ঋণ সালিশি আইন' কার আমলে প্রণীত হয় ?,History,3,1,এ. কে. ফজলুল হক,এইচ.এস. সোহরাওয়াদী,খাজা নাজিম উদ্দীন,নুরুল আমিন,A
প্রাচীন বাংলায় জনপদগুলোকে গৌড় নামে একত্রিত করেন -,History,3,1,রাজা কনিস্ক,বিক্রমাদিত্য,চন্দ্রগুপ্ত মৌর্য,রাজা শশাংক,D
বাংলার প্রথম সুবাদার কে ছিলেন?,History,2,2,মীর জুমলা,ইসলাম খান,মান সিংহ,শায়েস্তা খাঁ,B
দিল্লির কোন সম্রাট বাংলা থেকে পর্তুগিজদের বিতাড়িত করেন?,History,2,2,শের শাহ,আকবর,জাহাঙ্গীর,আওরঙ্গজেব,A
মোঘল সম্রাট আকবরের পিতামত কে ছিলেন?,History,2,2,বাবর,হুমায়ুন,বিরাম খাঁ,জাহাঙ্গীর,A
প্রাচীন বাংলার প্রথম গুরুত্বপূর্ণ নরপতি কে?,History,3,1,হর্ষবর্ধন,শশাঙ্ক,গোপাল,লক্ষণ সেন,B
কোন মোঘল সম্রাট বাংলার নাম দেন 'জান্নাতাবাদ'?,History,2,1,বাবর,হুমায়ুন,আকবর,জাহাঙ্গীর,B
আগরতলা ষড়যন্ত্র মামলা প্রত্যাহার করা হয় -,History,2,3,"২২ ফেব্রুয়ারী, 1969","২০ মার্চ, 1968","১৮ ফেব্রুয়ারী, 1970","৫ ডিসেম্বর, 1968",A
যে বিদেশী রাজা ভারতের কোহিনুর মণি ও ময়ূর সিংহাসন লুট করেন?,History,3,3,আহমদ শাহ্‌ আবদালি,নাদির শাহ্‌,দ্বিতীয় শাহ্‌ আব্বাস,সুলতান মাহমুদ,B
ব্রিটিশ বণিকদের বির‍্যদ্ধে একজন চাকমা জুমিয়া নেতা বিদ্রোহের পতাকা উড়িয়েছিলেন তার নাম কি?,History,3,1,রাজা ত্রিদিব রায়,রাজা ত্রিভুবন চাকমা,জুম্মা খান,জোয়ান বকস খাঁ,D
৭ই মার্ছের ভাষণে বঙ্গবন্ধু শেখ মুজিবুর রহমান কয় দফা দাবি পেশ করেন?,History,1,3,৬ দফা,৪ দফা,১১ দফা,৭ দফা,B
মাষ্টারদা সূর্যসেনের ফাঁসি কার্যকর হয়েছিল কোথায়?,History,3,3,মেদিনীপুরে,ব্যারাকপুরে,চট্টগ্রামে,আন্দামানে,C
কোন ব্যক্তি বাংলাদেশকে 'ধনসম্পদপূর্ণ নরক' বলে অভিহিত করেন?,History,3,1,ফা-হিয়েন,ইবনে বতুতা,হিউয়েন সাং,ইবনে খলদুন,B
টানা পরিব্রাজক ফা-হিয়েন কখন ভারতবর্ষ অবস্থান করেন ?,History,3,2,২০১-২১০ খ্রিষ্টাব্দ,৪০১-৪১০ খ্রিষ্টাব্দ,৭০২-৭০৮ খ্রিষ্টাব্দ,৯০৫-৯১৪ খ্রিষ্টাব্দ,B
আর্যদের আদি বাসস্থান কোথায় ছিল?,History,2,2,ইউরাল পর্বতের দক্ষিণ তৃণভূমি অঞ্চলে,হিমালয়ের পাদদেশে নেপালের দক্ষিনে,ভাগিরথী নদীর পশ্চিম তীরে,আফগানিস্থানের দক্ষিন-পূর্ব পাহাড়ি এলাকায়,A
বঙ্গভঙ্গের বিরুদ্ধে স্বদেশী আন্দোলনের নেতৃত্বে দান করেন কে?,History,3,1,বল্লভভাই প্যাটেল,অরবিন্দ ঘোষ,হাজী শরীয়তউল্লাহ,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়,D
রাষ্ট্রভাষার আন্দোলন অংকুরিত হয় ১৯৪৭ সালে মহীরুহে পরিণত হয় -,History,1,3,১৯৪৮ সালে,১৯৪৯ সালে,১৯৫১ সালে,১৯৫২ সালে,D
বাংলায় স্বাধীন সুলতান কে ছিলেন?,History,1,2,ফখঁরুদ্দিন ইলিয়াস শাহ্‌,ফখরুদ্দিন মোবারক শাহ্‌,ফকরুদ্দিন জহির শাহ্‌,মোহাম্মদ ঘোরী,B
কাগমারী সম্মেলন অনুষ্ঠিত হয় -,History,1,3,১৯৫৪,১৯৫৬,১৯৫৭,১৯৬১,C
৭ মার্চ ১৯৭১ বিখ্যাত কেন?,History,1,2,শের-ই বাংলার ভাষণ,সোহরাওয়ার্দীর ভাষণ,মাওলানা ভাষানীর ভাষণ,বঙ্গবন্ধুর ভাষণ,D
১৯৪৭ সালের সীমানা কমিশন যে নামে পরিচিত -,History,2,3,র্যা(রে)ডক্লিফ কমিশন,সাইমন কমিশন,লরেন্স কমিশন,ম্যাকডোনাল্ড কমিশন,A
কোন মুঘল সুবাদার চট্টগ্রাম দখল করে এর নাম রাখেন ইসলামাবাদ?,History,1,2,ইসলাম খান,রাজা মানসিংহ,মীর জুমলা,শায়েস্তা খাঁ,D
ভারত বিভক্তের সময় ইংল্যান্ডের প্রধানমন্ত্রী কে ছিলেন?,History,2,3,এটলি,চার্চিল,ডিজরেইলি,গ্লাডস্টোন,A
আওয়ামী মুসলিম লীগের প্রতিষ্ঠাকালীন সময়ে শেখ মুজিবুর রহমান নিচের কোন পদে ছিলেন?,History,1,2,যুগ্ম সম্পাদক,সম্পাদক,সহ-সভাপতি,কোনটিই না,A
'ছিয়াত্তরের মন্বন্তর' বাংলা কোন সনে হয়েছিল ?,History,1,3,১০৭৬ সনে,১৩৭৬ সনে,১১৭৬ সনে,১২৭৬ সনে,C
কোন যুগ প্রাচীন ভারতের স্বর্নযুগ হিসেবে পরিচিত?,History,2,2,মৌর্যযুগ,শুঙ্গযুগ,কুষাণযুগ,গুপ্তযুগ,D
'বুলবুল-ই-হিন্দ' কাকে বলা হয়?,History,3,3,তানসেনকে,আমীর খসরুকে,আবুল ফজলকে,গালিবকে,A
শাহজাহানের কনিষ্ঠ পুত্রের নাম কী?,History,1,2,দারা,মুরাদ,সুজা,আওরঙ্গজেব,B
ভারতে প্রথম স্থানীয় শাসন ব্যবস্থার প্রবর্তক -,History,2,2,লর্ড কার্জন,লর্ড রিপন,লর্ড ডাফরিন,লর্ড লিটন,B
পূর্ববঙ্গের নাম কখন পূর্ব পাকিস্তান করা হয়?,History,3,2,১৯৪৭,১৯৬২,১৯৫৬,১৯৫২,C
বাংলাদেশের গৃহীত এস্টেট একুইজিশন এন্ড Gat ts কোন সনে পাস হয়?,History,3,3,১৯৫০,১৯৫১,১৯৫২,১৯৬১,A
প্রথম বাংলা জয় করেন কে?,History,2,3,বখতিয়ার খলজি,আলাউদ্দিন খলজি,আলাউদ্দিন হোসেন শাহ্‌,শামসুদ্দিন ইলিয়াস শাহ্‌,A
বৌদ্ধ ধর্মের কনস্ট্যনটাইন কাকে বলা হয়?,History,2,1,অশোক,চন্দ্রগুপ্ত,মহাবীর,গৌতম বুদ্ধ,A
কৌটিল্য কার নাম ?,History,1,2,প্রাচীন রাজনীতিবিদ,প্রাচীন অর্থশাস্ত্রবিদ,পণ্ডিত,রাজকবি,B
'ছয়-দফা' দফা কোন তারিখে আনুষ্ঠুপক্াবে খোষণা করা হয়েছিল?,History,1,1,২১ ফেব্রুয়ারি ১৯৫৪,২২ মার্চ ১৯৫৮,২০ এপ্রিল ১৯৬২,২৩ মার্চ ১৯৬৬,B
ময়ূর সিংহাসন এর নির্মাতা কে?,History,3,2,আকবর,শাহ্জাহান,হুমায়ূন,আওরঙ্গজেব,B
জমিদারি প্রথা বিলুপ্ত হয় কবে ?,History,2,1,১৯৪৭ সালে,১৯৫০ সালে,১৯৫২ সালে,১৯৬৪ সালে,B
ধীরেন্দ্র নাথ দত্ত বাংলার ইতিহাসে কি জন্য বিখ্যাত?,History,2,2,কবি,স্বাধীনতা সংগ্রামী,বিশিষ্ট লেখক,বাংলাভাষা প্রতিষ্ঠায় নিবেদিত প্রাণ,D
ফরায়েজী আন্দলনের প্রধান কেন্দ্র ছিল কোন জেলা?,History,2,2,ফরিদপুর,শরিয়তপুর,খুলনা,যশোর,A
ফকির আন্দোলনের নেতা কে?,History,1,2,সিরাজ শাহ্‌,মোহসিন আলী,মজনু শাহ্‌,জহির শাহ্‌,C
ভারতে ক্যাবনেট মিশন কখন এসেছিল ?,History,2,3,১৯৪০ সালে,১৯৪৬ সালে,১৯৪২ সালে,১৯৪৭ সালে,B
ভারতীয় উপমহাদেশে ইস্ট ইন্ডিয়া কোম্পানির শাসনের অবসান হয় কোন সালে?,History,1,3,১৮৫৭,১৮৫৮,১৮৫৯,১৮৬০,B
আর্য জাতি কোন দেশ থেকে এসেছিল?,History,3,1,বাহরাইন,ইরাক,মেক্সিকো,ইরান,D
১৯০৫ ও ১৯২৩ সালে দুটি আমাদের জাতীয় জীবনের কোন দুটি ঐতিহাসিক ঘটনার সাথে সম্পৃক্ত?,History,3,1,"বঙ্গভঙ্গ, বেঙ্গল ট্যাক্ট চুক্তি সম্পাদিত হয়","খেলাফত আন্দোলন, বিপ্লবী আন্দোলন","বঙ্গভঙ্গ রদ, গান্ধীর অসহযোগ আন্দোলন","গান্ধীর ভারত আগমন, বিপ্লবী আন্দোলন",A
ব্রিটিশ পার্লামেন্টে 'ভারত শাসন আইন' পাস হয় কত সালে?,History,3,3,১৭৮৪,১৭৮৬,১৭৭৩,১৭৯০,A
বাংলায় প্রথম বংশানুক্রমিক শাসন শুরু করেন -,History,2,3,শশাংস্ক,বখতিয়ার খলজি,বিজয় সেন,গোপাল,D
পাকিস্তান শাসনতান্ত্রিক পরিষদের (Constituent Assembly) ধারা বিবরণীতে বাংলা ভাষা ব্যবহারের দাবি কে প্রথম করেছিলেন?,History,3,3,আবুল হাসেম,শেখ মুজিবুর রহমান,ড. মুহাম্মদ শহীদুল্লাহ,ধীরেন্দ নাথ দত্ত,D
